Modelo,Procesador,Chipset,Sistema operativo,Memoria RAM,Disco duro,Gráficos,Software,Energía,Redes,Pantalla,Cámara,Medidas y peso,Color,PRECIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOHAPPY-2984,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, • McAfee® Internet Security Suite Trial, MyWinLocker®, Android™ InstantOn, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Rosa Candy,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOHAPPY-2607,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, • McAfee® Internet Security Suite Trial, MyWinLocker®, Android™ InstantOn, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 6 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 8 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Morado Lavanda,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2623,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 160GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™, Bluetooth","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Rojo Rubi,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2984,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,2 GB RAM (2048/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 6 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 8 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Rojo Rubi,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2293,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,2 GB RAM (2048/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 6 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 8 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Azul Aguamarina,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2082,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 160GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Rojo Rubi,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2729,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 160GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Café Sandstone,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2635,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Negro Diamante,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2161,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Negro Diamante,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOD255-2685,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Rojo Rubi,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO751H-1044,"Procesador Intel® Atom™  N450 (1.66GHz,/512KB, L2/667MHz FSB)",Chipset Mobile Intel® NM10 Express,Windows® 7 Starter,1 GB RAM (1024/0) DDRII-533,Disco duro 250GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 3150,"Acer ePower Management, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, MyWinLocker®, Android™ InstantOn, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009","Batería 3 celdas Li-Ion. Adaptador de corriente AC de 40W, hasta 4 horas de duracion de bateria.","Red Fast Ethernet 10/100, Red inalámbrica Acer InviLink™ Nplify 802.11BG, antena Acer SignalUp™","Pantalla de 10.1"" TFT Activa WSVGA (1024x600) high-brightness",Cámara web 1.3 Mp,258.5mm ancho x 185mm largo x 24.mm altura / 1.25 Kg,Azul Aguamarina,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
