Modelo,Procesador,Chipset,Sistema operativo,Memoria RAM,Disco duro,Gráficos,Software,Unidad óptica,Energía,Pantalla,Medidas y peso,Color,Precio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS5736Z-4799,"Procesador Intel® Pentium® Dual Core T4500 (2.3GHz/1MB L2/800MHz FSB, I64)",Chipset Intel® GL40 Express ,Windows® 7 Home Premium 64bit,2 GB RAM (2048/0) DDRIII-667,Disco duro 500GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator 4500M ,"Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer)
Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 15.6"" HD TFT (1366X768) Acer CineCrystal™ ","381mm ancho x 253mm largo x 25/34mm altura, 2.6kg  ",Rojo,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4738Z-4196,"Procesador Intel® Pentium® Dual Core P6100 (2.0GHz/3MB L3/1066MHz FSB, I64)",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,3 GB RAM (2048/1024) DDRIII-667,Disco duro 320GB SATA @5400RPM ,Video Intel® Graphics HD ,"Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Microsoft® Office Starter 2010, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer)
Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" HD (1366X768) Acer CineCrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg  ",Rojo,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4738Z-4650,"Procesador Intel® Pentium® Dual Core P6100 (2.0GHz/3MB L3/1066MHz FSB, I64)",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,3 GB RAM (2048/1024) DDRIII-667,Disco duro 320GB SATA @5400RPM ,Video Intel® Graphics HD ,"Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Microsoft® Office Starter 2010, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer)
Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" HD (1366X768) Acer CineCrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg  ",Bronce,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4738Z-4520,"Procesador Intel® Pentium® Dual Core P6100 (2.0GHz/3MB L3/1066MHz FSB, I64)",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,3 GB RAM (2048/1024) DDRIII-667,Disco duro 320GB SATA @5400RPM ,Video Intel® Graphics HD ,"Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Microsoft® Office Starter 2010, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer)
Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" HD (1366X768) Acer CineCrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg  ",Negro,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4552-3950,Procesador AMD Athlon™ II Dual-Core Mobile P340 (2.2GHz/1MB L2 cache/ 1066 MHz),Chipset AMD M880G,Windows® 7 Home Basic 64bit,2 GB RAM (2048/0) DDRIII-667,Disco duro 320GB SATA @5400RPM ,Video ATI Radeon™ HD 4250 hasta 256MB (UMA),"Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Microsoft® Office Starter 2010, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer)
Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" HD (1366X768) Acer CineCrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg  ",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4333-2249,"Procesador Intel® Celeron® M900 (1 MB L2 cache, 2.2GHz, 800 MHz FSB), I64",Chipset Intel® GL40 Express ,Windows® 7 Starter ,1 GB RAM (1024/0) DDRIII-667,Disco duro 160GB SATA @5400RPM,Video Intel® Graphics Media Accelerator 4500M ,"Acer eRecovery Management, Adobe® Flash® Player 10.1, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" HD (1366X768) Acer CineCrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg  ",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS5742Z-4326,"Procesador Intel® Pentium® Dual Core P6100 (2.0GHz/3MB L3/1066MHz FSB, I64)",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,3 GB RAM (2048/1024) DDRIII-667,Disco duro 320GB SATA @5400RPM ,Video Intel® Graphics HD ,"Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Starter 2010, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 15.6"" HD TFT (1366X768) Acer CineCrystal™ con diseño Super-slim","381mm ancho x 253mm largo x 25/34mm altura, 2.6kg  ",Rojo,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS3820T-5464,"Procesador Intel® Core™ i5-460M (2.53 GHz, con Turbo Boost hasta 2.8 GHz /3MB L3/1066 MHz), I64",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,4 GB RAM (2048/2048) DDRIII-667,Disco duro 500GB SATA @5400RPM ,Video Intel® Graphics HD ,"Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Microsoft® Office Trial (Service Pack 2), Microsoft® Works 8.5, Norton™ Online Backup, McAfee® Internet Security Suite 2009 Trial, MyWinLocker®
Multimedia, Acer Arcade™ Deluxe, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Incluye Unidad óptica externa,Batería 6 celdas Li-Ion con duración de hasta 8 horas. Adaptador de corriente AC de 65W,"Pantalla de 13.3"" HD Acer CineCrystal™ (1366 x 768), diseño super-slim ","324mm ancho x 235mm largo x 22/28.9 mm altura, 1.8kg  ",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4745Z-4297,"Procesador Intel® Pentium® Dual Core P6100 (2.0GHz/3MB L3/1066MHz FSB, I64)",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,3 GB RAM (2048/1024) DDRIII-1066,Disco duro 320GB SATA @5400RPM ,Video Intel® Graphics HD ,"Acer PowerSmart Manager, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google™ Setup, Google Toolbar™, Microsoft® Office Trial (Service Pack 2), Microsoft® Works 8.5, Norton™ Online Backup
Security, McAfee® Internet Security Suite 2009 Trial, McAfee® Virus, MyWinLocker®
Multimedia, Acer Arcade™ Deluxe, NTI Media Maker™, Oberon GameZone Acer Edition, WildTangent® Acer Edition, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" TFT WXGA (1366X768) Acer CineCrystal™","342mm ancho x 245mm largo x 25.5/29.87mm altura, 2.2kg  ",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4745-7509,"Procesador Intel® Core™ i3-370M (2.4 GHz/3MB L3/1066 MHz), I64",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,3 GB RAM (2048/1024) DDRIII-1066,Disco duro 500GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator HD ,"Acer PowerSmart Manager, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google™ Setup, Google Toolbar™, Microsoft® Office Trial (Service Pack 2), Microsoft® Works 8.5, Norton™ Online Backup
Security, McAfee® Internet Security Suite 2009 Trial, McAfee® Virus, MyWinLocker®
Multimedia, Acer Arcade™ Deluxe, NTI Media Maker™, Oberon GameZone Acer Edition, WildTangent® Acer Edition, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" TFT WXGA (1366X768) Acer CineCrystal™","342mm ancho x 245mm largo x 25.5/29.87mm altura, 2.2kg  ",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4745-7708,"Procesador Intel® Core™ i3-370M (2.4 GHz/3MB L3/1066 MHz), I64",Chipset Intel® HM55 Express,Windows® 7 Home Premium 64bit,4 GB RAM (2048/2048) DDRIII-1066,Disco duro 320GB SATA @5400RPM ,Video Intel® Graphics Media Accelerator HD ,"Acer PowerSmart Manager, Acer eRecovery Management, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google™ Setup, Google Toolbar™, Microsoft® Office Trial (Service Pack 2), Microsoft® Works 8.5, Norton™ Online Backup
Security, McAfee® Internet Security Suite 2009 Trial, McAfee® Virus, MyWinLocker®
Multimedia, Acer Arcade™ Deluxe, NTI Media Maker™, Oberon GameZone Acer Edition, WildTangent® Acer Edition, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009
",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" TFT WXGA (1366X768) Acer CineCrystal™","342mm ancho x 245mm largo x 25.5/29.87mm altura, 2.2kg  ",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4741-5972,"Procesador Intel® Core™ i3-350M (2.26 GHz/3MB L3/1066 MHz), I64",Chipset Intel® HM55 Express,Windows® 7 Home Basic 64bit,2 GB RAM (2048/0) DDRIII-667,Disco duro 320GB SATA @5400RPM ,Video Intel® Graphics HD con 128 MB de memoria dedicada,"Acer Backup Manager, Acer ePower Management, Acer eRecovery Management, Microsoft® Office Trial (Service Pack 2), Microsoft® Works, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, WildTangent®, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Assist, Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" HD TFT (1366X768) Acer CineCrystal™","342mm ancho x 245mm largo x 25.5/31.9mm altura, 2.2kg  ",Plata,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4732Z-4747,"Procesador Intel® Pentium® Dual Core T4500 (2.3GHz/1MB L2/800MHz FSB, I64)",Chipset Intel® GL40 Express,Windows® 7 Starter ,2 GB RAM (1024/1024) DDRII-667,Disco duro 160GB SATA @5400RPM,Video Intel® Graphics Media Accelerator 4500M (DVMT 5.0),"Acer Arcade™ Deluxe featuring Acer CinemaVision™ and Acer ClearVision™ technologies, Acer Crystal Eye, Acer GridVista™, Acer Launch Manager, Acer eRecovery Management, Acer ePower Management, Adobe Flash® Player, Adobe® Reader®, eSobi™, Google Toolbar™, McAfee® Internet Security Suite Trial, Microsoft® Works with Office Home and Student 2007 Trial (Service Pack 1), MyWinLocker®, Norton™ Online Backup, NTI Media Maker™, Windows Live™ Essentials",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" TFT WXGA (1366X768) Acer CineCrystal™","337mm ancho x 227mm largo x 26/39.9mm altura, 2.4kg",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4251-1529,"Procesador AMD V Series V120 (2.20GHz/512KB L2 Cache, 1066 MHz FSB)",Chipset AMD M880G,Windows® 7 Starter ,2 GB RAM (2048/0) DDRIII-667,Disco duro 160GB SATA @5400RPM,Video ATI Radeon™ HD 4250 hasta 256MB (UMA),"Acer eRecovery Management, Microsoft® Office Trial (Service Pack 2), Microsoft® Works 8.5, Adobe® Flash® Player 10, Adobe® Reader® 9.1, eSobi™, Google Toolbar™, Norton™ Online Backup, McAfee® Internet Security Suite Trial, MyWinLocker®, Cyberlink® PowerDVD™, NTI Media Maker™, Oberon GameZone, Acer Crystal Eye, Microsoft® Silverlight™, Skype™, Windows Live™ Essentials — Wave 3.2 (Mail, Photo Gallery, Live™ Messenger, Movie Maker, Writer), Acer Identity Card, Acer Registration, Acer Updater, eBay® shortcut 2009",Unidad óptica DVD-SuperMulti DL 8x (DVD±RW),Batería 6 celdas Li-Ion. Adaptador de corriente AC de 65W,"Pantalla de 14"" HD TFT (1366X768) Acer CineCrystal™","342mm ancho x 245mm largo x 25.5/31.9mm altura, 2.2kg  ",Negro,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
